filepath,label,source_file,source_dataset
data/external/esd_processed/angry/esd_angry_0001.wav,angry,Emotion Speech Dataset/0001/Angry/0001_000441.wav,ESD
data/external/esd_processed/angry/esd_angry_0002.wav,angry,Emotion Speech Dataset/0001/Angry/0001_000481.wav,ESD
data/external/esd_processed/angry/esd_angry_0003.wav,angry,Emotion Speech Dataset/0001/Angry/0001_000486.wav,ESD
data/external/esd_processed/angry/esd_angry_0004.wav,angry,Emotion Speech Dataset/0001/Angry/0001_000494.wav,ESD
data/external/esd_processed/angry/esd_angry_0005.wav,angry,Emotion Speech Dataset/0001/Angry/0001_000507.wav,ESD
data/external/esd_processed/angry/esd_angry_0006.wav,angry,Emotion Speech Dataset/0001/Angry/0001_000543.wav,ESD
data/external/esd_processed/angry/esd_angry_0007.wav,angry,Emotion Speech Dataset/0001/Angry/0001_000627.wav,ESD
data/external/esd_processed/angry/esd_angry_0008.wav,angry,Emotion Speech Dataset/0001/Angry/0001_000636.wav,ESD
data/external/esd_processed/angry/esd_angry_0009.wav,angry,Emotion Speech Dataset/0002/Angry/0002_000353.wav,ESD
data/external/esd_processed/angry/esd_angry_0010.wav,angry,Emotion Speech Dataset/0002/Angry/0002_000355.wav,ESD
data/external/esd_processed/angry/esd_angry_0011.wav,angry,Emotion Speech Dataset/0002/Angry/0002_000356.wav,ESD
data/external/esd_processed/angry/esd_angry_0012.wav,angry,Emotion Speech Dataset/0002/Angry/0002_000437.wav,ESD
data/external/esd_processed/angry/esd_angry_0013.wav,angry,Emotion Speech Dataset/0002/Angry/0002_000583.wav,ESD
data/external/esd_processed/angry/esd_angry_0014.wav,angry,Emotion Speech Dataset/0002/Angry/0002_000653.wav,ESD
data/external/esd_processed/angry/esd_angry_0015.wav,angry,Emotion Speech Dataset/0002/Angry/0002_000661.wav,ESD
data/external/esd_processed/angry/esd_angry_0016.wav,angry,Emotion Speech Dataset/0002/Angry/0002_000677.wav,ESD
data/external/esd_processed/angry/esd_angry_0017.wav,angry,Emotion Speech Dataset/0003/Angry/0003_000363.wav,ESD
data/external/esd_processed/angry/esd_angry_0018.wav,angry,Emotion Speech Dataset/0003/Angry/0003_000373.wav,ESD
data/external/esd_processed/angry/esd_angry_0019.wav,angry,Emotion Speech Dataset/0003/Angry/0003_000407.wav,ESD
data/external/esd_processed/angry/esd_angry_0020.wav,angry,Emotion Speech Dataset/0003/Angry/0003_000416.wav,ESD
data/external/esd_processed/angry/esd_angry_0021.wav,angry,Emotion Speech Dataset/0003/Angry/0003_000430.wav,ESD
data/external/esd_processed/angry/esd_angry_0022.wav,angry,Emotion Speech Dataset/0003/Angry/0003_000457.wav,ESD
data/external/esd_processed/angry/esd_angry_0023.wav,angry,Emotion Speech Dataset/0003/Angry/0003_000479.wav,ESD
data/external/esd_processed/angry/esd_angry_0024.wav,angry,Emotion Speech Dataset/0003/Angry/0003_000557.wav,ESD
data/external/esd_processed/angry/esd_angry_0025.wav,angry,Emotion Speech Dataset/0003/Angry/0003_000682.wav,ESD
data/external/esd_processed/angry/esd_angry_0026.wav,angry,Emotion Speech Dataset/0003/Angry/0003_000683.wav,ESD
data/external/esd_processed/angry/esd_angry_0027.wav,angry,Emotion Speech Dataset/0004/Angry/0004_000439.wav,ESD
data/external/esd_processed/angry/esd_angry_0028.wav,angry,Emotion Speech Dataset/0004/Angry/0004_000456.wav,ESD
data/external/esd_processed/angry/esd_angry_0029.wav,angry,Emotion Speech Dataset/0004/Angry/0004_000539.wav,ESD
data/external/esd_processed/angry/esd_angry_0030.wav,angry,Emotion Speech Dataset/0004/Angry/0004_000590.wav,ESD
data/external/esd_processed/angry/esd_angry_0031.wav,angry,Emotion Speech Dataset/0004/Angry/0004_000634.wav,ESD
data/external/esd_processed/angry/esd_angry_0032.wav,angry,Emotion Speech Dataset/0004/Angry/0004_000657.wav,ESD
data/external/esd_processed/angry/esd_angry_0033.wav,angry,Emotion Speech Dataset/0004/Angry/0004_000659.wav,ESD
data/external/esd_processed/angry/esd_angry_0034.wav,angry,Emotion Speech Dataset/0005/Angry/0005_000381.wav,ESD
data/external/esd_processed/angry/esd_angry_0035.wav,angry,Emotion Speech Dataset/0005/Angry/0005_000445.wav,ESD
data/external/esd_processed/angry/esd_angry_0036.wav,angry,Emotion Speech Dataset/0005/Angry/0005_000526.wav,ESD
data/external/esd_processed/angry/esd_angry_0037.wav,angry,Emotion Speech Dataset/0005/Angry/0005_000584.wav,ESD
data/external/esd_processed/angry/esd_angry_0038.wav,angry,Emotion Speech Dataset/0005/Angry/0005_000592.wav,ESD
data/external/esd_processed/angry/esd_angry_0039.wav,angry,Emotion Speech Dataset/0005/Angry/0005_000595.wav,ESD
data/external/esd_processed/angry/esd_angry_0040.wav,angry,Emotion Speech Dataset/0005/Angry/0005_000644.wav,ESD
data/external/esd_processed/angry/esd_angry_0041.wav,angry,Emotion Speech Dataset/0006/Angry/0006_000361.wav,ESD
data/external/esd_processed/angry/esd_angry_0042.wav,angry,Emotion Speech Dataset/0006/Angry/0006_000407.wav,ESD
data/external/esd_processed/angry/esd_angry_0043.wav,angry,Emotion Speech Dataset/0006/Angry/0006_000492.wav,ESD
data/external/esd_processed/angry/esd_angry_0044.wav,angry,Emotion Speech Dataset/0006/Angry/0006_000497.wav,ESD
data/external/esd_processed/angry/esd_angry_0045.wav,angry,Emotion Speech Dataset/0006/Angry/0006_000517.wav,ESD
data/external/esd_processed/angry/esd_angry_0046.wav,angry,Emotion Speech Dataset/0006/Angry/0006_000585.wav,ESD
data/external/esd_processed/angry/esd_angry_0047.wav,angry,Emotion Speech Dataset/0006/Angry/0006_000609.wav,ESD
data/external/esd_processed/angry/esd_angry_0048.wav,angry,Emotion Speech Dataset/0006/Angry/0006_000648.wav,ESD
data/external/esd_processed/angry/esd_angry_0049.wav,angry,Emotion Speech Dataset/0006/Angry/0006_000657.wav,ESD
data/external/esd_processed/angry/esd_angry_0050.wav,angry,Emotion Speech Dataset/0006/Angry/0006_000665.wav,ESD
data/external/esd_processed/angry/esd_angry_0051.wav,angry,Emotion Speech Dataset/0006/Angry/0006_000692.wav,ESD
data/external/esd_processed/angry/esd_angry_0052.wav,angry,Emotion Speech Dataset/0007/Angry/0007_000356.wav,ESD
data/external/esd_processed/angry/esd_angry_0053.wav,angry,Emotion Speech Dataset/0007/Angry/0007_000385.wav,ESD
data/external/esd_processed/angry/esd_angry_0054.wav,angry,Emotion Speech Dataset/0007/Angry/0007_000398.wav,ESD
data/external/esd_processed/angry/esd_angry_0055.wav,angry,Emotion Speech Dataset/0007/Angry/0007_000399.wav,ESD
data/external/esd_processed/angry/esd_angry_0056.wav,angry,Emotion Speech Dataset/0007/Angry/0007_000427.wav,ESD
data/external/esd_processed/angry/esd_angry_0057.wav,angry,Emotion Speech Dataset/0007/Angry/0007_000435.wav,ESD
data/external/esd_processed/angry/esd_angry_0058.wav,angry,Emotion Speech Dataset/0007/Angry/0007_000451.wav,ESD
data/external/esd_processed/angry/esd_angry_0059.wav,angry,Emotion Speech Dataset/0007/Angry/0007_000463.wav,ESD
data/external/esd_processed/angry/esd_angry_0060.wav,angry,Emotion Speech Dataset/0007/Angry/0007_000479.wav,ESD
data/external/esd_processed/angry/esd_angry_0061.wav,angry,Emotion Speech Dataset/0007/Angry/0007_000508.wav,ESD
data/external/esd_processed/angry/esd_angry_0062.wav,angry,Emotion Speech Dataset/0007/Angry/0007_000522.wav,ESD
data/external/esd_processed/angry/esd_angry_0063.wav,angry,Emotion Speech Dataset/0007/Angry/0007_000555.wav,ESD
data/external/esd_processed/angry/esd_angry_0064.wav,angry,Emotion Speech Dataset/0007/Angry/0007_000561.wav,ESD
data/external/esd_processed/angry/esd_angry_0065.wav,angry,Emotion Speech Dataset/0007/Angry/0007_000676.wav,ESD
data/external/esd_processed/angry/esd_angry_0066.wav,angry,Emotion Speech Dataset/0008/Angry/0008_000369.wav,ESD
data/external/esd_processed/angry/esd_angry_0067.wav,angry,Emotion Speech Dataset/0008/Angry/0008_000393.wav,ESD
data/external/esd_processed/angry/esd_angry_0068.wav,angry,Emotion Speech Dataset/0008/Angry/0008_000408.wav,ESD
data/external/esd_processed/angry/esd_angry_0069.wav,angry,Emotion Speech Dataset/0008/Angry/0008_000439.wav,ESD
data/external/esd_processed/angry/esd_angry_0070.wav,angry,Emotion Speech Dataset/0008/Angry/0008_000515.wav,ESD
data/external/esd_processed/angry/esd_angry_0071.wav,angry,Emotion Speech Dataset/0008/Angry/0008_000559.wav,ESD
data/external/esd_processed/angry/esd_angry_0072.wav,angry,Emotion Speech Dataset/0008/Angry/0008_000628.wav,ESD
data/external/esd_processed/angry/esd_angry_0073.wav,angry,Emotion Speech Dataset/0008/Angry/0008_000635.wav,ESD
